,01,02,03,04,05
avg_x_orig,0.5233861056892937,0.5057482135350988,0.613717543618629,0.4065942509196031,0.46729688298415945
avg_y_orig,0.46431849983511736,0.43672365995987156,0.4510707171314741,0.4374917163684559,0.4271816121870059
density_ratio1_canny,0.49550814149354294,0.4927536231884058,0.4979333614508646,0.49659024485289344,0.4948687818253036
density_ratio1_orig,0.5113858165256994,0.5630517023959647,0.5358565737051793,0.5526838966202783,0.542995839112344
density_ratio2_canny,0.5102002620250795,0.5049657912160671,0.5245044285111767,0.47937909982464116,0.4865648256952605
density_ratio2_orig,0.41574495770982434,0.4558638083228247,0.2297476759628154,0.6858846918489065,0.5478502080443828
density_ratio3_canny,0.5140133460438513,0.511746221756696,0.5221269296740995,0.5024711696869851,0.5064997208708828
density_ratio3_orig,0.45508586525759576,0.4342273307790549,0.3172554347826087,0.5296096904441454,0.48484848484848486
density_ratio4_canny,0.5138716750881877,0.506134051466188,0.5189949403996227,0.49499077247561296,0.5027505381487682
density_ratio4_orig,0.4742063492063492,0.5540540540540541,0.38639455782312926,0.6850235057085292,0.5860366713681241
h_w_ratio_canny,0.2465753424657534,0.242914979757085,0.25892857142857145,0.2875,0.2345679012345679
mean_hist_canny,0.09639776763064435,0.08279352226720647,0.08751539408866994,0.07022946859903383,0.07840589127138835
mean_hist_orig,0.8700321325892102,0.8929824561403509,0.8840825123152709,0.908876811594203,0.8958919933578803
no_of_corners_orig,0.13,0.18,0.15,0.08,0.13
occ_ratio_canny,0.09639776763064434,0.08279352226720647,0.08751539408866996,0.07022946859903381,0.07840589127138835
occ_ratio_orig,0.12996786741078978,0.10701754385964912,0.11591748768472906,0.0911231884057971,0.10410800664211971
var_hist_canny,0.08710523802647266,0.07593875493779607,0.07985644988617474,0.06529729033933115,0.0722584074853276
var_hist_orig,0.11307622085148117,0.09556478916589717,0.10248062373358977,0.08281975294055871,0.09326952959512408
