,avg_x_orig,avg_y_orig,density_ratio1_canny,density_ratio1_orig,density_ratio2_canny,density_ratio2_orig,density_ratio3_canny,density_ratio3_orig,density_ratio4_canny,density_ratio4_orig,h_w_ratio_canny,mean_hist_canny,mean_hist_orig,no_of_corners_orig,occ_ratio_canny,occ_ratio_orig,var_hist_canny,var_hist_orig
01_1,0.5045567522783762,0.14710485133020346,0.476027397260274,1.0,0.4700342465753425,0.43661971830985913,0.5434782608695652,0.015384615384615385,0.5113327289211242,0.8955223880597015,0.2361111111111111,0.0457516339869281,0.9419934640522876,0.02,0.0457516339869281,0.05800653594771242,0.04365842197445426,0.05464177773505916
01_2,0.6066547831253714,0.5736531986531986,0.5025996533795494,0.42424242424242425,0.4800693240901213,0.2828282828282828,0.5257352941176471,0.4838709677419355,0.5376838235294118,0.3711340206185567,0.2361111111111111,0.057189542483660136,0.9191176470588235,0.04,0.05718954248366013,0.08088235294117647,0.05391889871416975,0.07434039792387544
01_3,0.6650853889943074,0.2768817204301075,0.4811320754716981,0.8870967741935484,0.48284734133790735,0.12903225806451613,0.5496809480401094,0.0,0.5245454545454545,0.5932203389830508,0.2361111111111111,0.047385620915032685,0.9493464052287582,0.05,0.04738562091503268,0.05065359477124183,0.045140223845529494,0.04808780810799266
01_4,0.6298211592329239,0.47435897435897434,0.48841698841698844,0.5494505494505495,0.5135135135135135,0.16483516483516483,0.5537359263050153,0.3089430894308943,0.555327868852459,0.3231939163498099,0.2361111111111111,0.15359477124183005,0.7769607843137255,0.04,0.15359477124183007,0.22303921568627452,0.130003417489,0.17329272395232603
01_5,0.45384615384615384,0.4889957264957265,0.5071360608943863,0.4461538461538462,0.4776403425309229,0.49615384615384617,0.520686175580222,0.5609756097560976,0.5275275275275275,0.5875,0.2361111111111111,0.14133986928104575,0.7875816993464053,0.06,0.14133986928104575,0.21241830065359477,0.12136291063266265,0.1672967662010338
01_6,0.382958121520213,0.35390946502057613,0.47343453510436434,0.720164609053498,0.4573055028462998,0.6172839506172839,0.5305917753259779,0.4690265486725664,0.47619047619047616,0.9128630705394191,0.2361111111111111,0.13888888888888887,0.8014705882352942,0.03,0.1388888888888889,0.19852941176470587,0.11959876543209878,0.15911548442906576
01_7,0.5111561866125761,0.49932950191570885,0.49909255898366606,0.5241379310344828,0.48729582577132485,0.30344827586206896,0.5220729366602687,0.4925373134328358,0.5544840887174542,0.30985915492957744,0.2361111111111111,0.09967320261437909,0.8815359477124183,0.07,0.09967320261437909,0.1184640522875817,0.08973845529497201,0.1044303206031868
01_8,0.23923959827833574,0.43182588075880757,0.48847926267281105,0.5853658536585366,0.4110599078341014,0.926829268292683,0.5073313782991202,0.631578947368421,0.4750733137829912,0.9281045751633987,0.2361111111111111,0.11356209150326797,0.8660130718954249,0.05,0.11356209150326797,0.13398692810457516,0.10066574287667134,0.11603443120167457
01_9,0.15705882352941175,0.2475,0.48284960422163586,0.82,0.4415127528583993,0.77,0.5116931711880262,0.648936170212766,0.49111318989710007,1.0,0.2361111111111111,0.07107843137254902,0.9183006535947712,0.05,0.07107843137254902,0.08169934640522876,0.06602628796616686,0.07502456320218719
02_1,0.5800214822771214,0.4223494275759084,0.4875922199865862,0.7346938775510204,0.47619047619047616,0.3469387755102041,0.5310296191819464,0.28421052631578947,0.5215547703180212,0.5425531914893617,0.23170731707317074,0.04300385109114249,0.9370988446726572,0.03,0.04300385109114249,0.06290115532734275,0.04115451988247333,0.05894459998582825
