,avg_x_orig,avg_y_orig,density_ratio1_canny,density_ratio1_orig,density_ratio2_canny,density_ratio2_orig,density_ratio3_canny,density_ratio3_orig,density_ratio4_canny,density_ratio4_orig,h_w_ratio_canny,mean_hist_canny,mean_hist_orig,no_of_corners_orig,occ_ratio_canny,occ_ratio_orig,var_hist_canny,var_hist_orig
01_1,0.8025641025641025,0.5674891146589259,0.4930612244897959,0.4461538461538462,0.5175510204081633,0.0,0.5178571428571429,0.22950819672131148,0.540885860306644,0.0,0.4528301886792453,0.036949685534591194,0.9488993710691824,0.04,0.036949685534591194,0.05110062893081761,0.03558440627348603,0.0484893546536925
01_2,0.42971014492753623,0.20590648072190318,0.45546218487394957,1.0,0.4957983193277311,0.6,0.5280701754385965,0.27927927927927926,0.49430324276950044,0.9090909090909091,0.4528301886792453,0.06446540880503145,0.9095911949685535,0.06,0.06446540880503145,0.09040880503144653,0.060309619872631615,0.08223505300423244
01_3,0.8375,0.26346153846153847,0.49596122778675283,1.0,0.5040387722132472,0.0,0.5139005897219882,0.0,0.5239697224558453,0.0,0.46153846153846156,0.008012820512820514,0.9919871794871795,0.02,0.008012820512820512,0.008012820512820512,0.007948615220249833,0.007948615220249835
01_4,0.526294498381877,0.7548543689320388,0.531063829787234,0.0,0.5012765957446809,0.4563106796116505,0.4968888888888889,0.7171717171717171,0.5473870682019486,0.03,0.46153846153846156,0.058493589743589744,0.9174679487179488,0.03,0.058493589743589744,0.08253205128205128,0.05507208970249835,0.07572051179322813
01_5,0.5198833510074231,0.6698113207547169,0.5117328519855595,0.25609756097560976,0.48014440433212996,0.4146341463414634,0.49575070821529743,0.6455696202531646,0.5450281425891182,0.18543046357615894,0.4339622641509434,0.09105824446267431,0.8654634946677604,0.04,0.09105824446267433,0.13453650533223954,0.08276664057805017,0.11643643406522784
01_6,0.5436167266685129,0.5257781516644634,0.5015015015015015,0.4140127388535032,0.5015015015015015,0.34076433121019106,0.518324607329843,0.4597315436241611,0.5360501567398119,0.38513513513513514,0.4339622641509434,0.1804757998359311,0.7424118129614439,0.03,0.1804757998359311,0.2575881870385562,0.147904285509512,0.19123651293674598
01_7,0.6627667984189723,0.5171328671328671,0.49206349206349204,0.5018181818181818,0.5337301587301587,0.18545454545454546,0.5408479834539814,0.3486590038314176,0.5512953367875648,0.34220532319391633,0.4423076923076923,0.15719063545150502,0.7700668896321071,0.02,0.15719063545150502,0.229933110367893,0.1324817395778571,0.17706387512443933
01_8,0.532608695652174,0.3911401098901099,0.4805447470817121,0.6383928571428571,0.490272373540856,0.35714285714285715,0.5316326530612245,0.3348623853211009,0.5025484199796126,0.5927601809954751,0.4423076923076923,0.14046822742474915,0.8127090301003345,0.05,0.14046822742474915,0.18729096989966554,0.12073690450889812,0.15221306249370817
01_9,0.04619565217391304,0.2794811320754717,0.4896437448218724,0.6875,0.4730737365368683,1.0,0.5077854671280276,0.6428571428571429,0.5147058823529411,1.0,0.4339622641509434,0.009844134536505332,0.9868744872846595,0.03,0.009844134536505332,0.013125512715340444,0.009747227551732513,0.01295323363129988
01_10,0.0,0.0,0.49056603773584906,0.0,0.4782608695652174,0.0,0.5098543273350471,0.0,0.5196917808219178,0.0,0.4339622641509434,0.0,1.0,0.01,0.0,0.0,0.0,0.0
01_11,0.45082815734989645,0.37179487179487175,0.4811237928007024,0.9285714285714286,0.47322212467076386,0.5,0.5110091743119266,0.4268292682926829,0.5077767612076852,0.7088607594936709,0.4423076923076923,0.047658862876254184,0.9297658862876254,0.03,0.047658862876254184,0.07023411371237458,0.04538749566559657,0.06530128298341183
01_12,0.1474850809889173,0.25339366515837103,0.49098712446351933,0.9019607843137255,0.46437768240343347,1.0,0.5044802867383512,0.75,0.5085049239033125,0.94,0.4423076923076923,0.025919732441471572,0.9573578595317727,0.03,0.025919732441471572,0.042642140468227424,0.025247899911634092,0.04082378832451539
02_1,0.5454974068835455,0.6604785478547855,0.5153764581124072,0.26732673267326734,0.48038176033934255,0.36633663366336633,0.5022222222222222,0.6288659793814433,0.5294117647058824,0.358695652173913,0.4375,0.06448412698412698,0.8998015873015873,0.05,0.06448412698412699,0.1001984126984127,0.06032592435122195,0.09015869079113129
02_2,0.4492753623188406,0.1490036231884058,0.48148148148148145,1.0,0.47530864197530864,0.6086956521739131,0.527448869752422,0.0,0.5075431034482759,0.9090909090909091,0.4375,0.03571428571428572,0.9543650793650794,0.03,0.03571428571428571,0.04563492063492063,0.03443877551020408,0.04355237465356513
02_3,0.8412698412698413,0.17361111111111113,0.49800796812749004,1.0,0.47808764940239046,0.0,0.5130616509926855,0.0,0.5213319458896982,0.0,0.4375,0.003968253968253968,0.9970238095238094,0.02,0.003968253968253968,0.002976190476190476,0.003952506928697404,0.0029673327664399094
