,Median,IQR
Tile_1,1.2258531339626506,1.3187981727403657
Tile_2,2.990332584447011,4.046023665901515
Tile_3,1.7169356895440337,0.8917506390048131
Tile_4,0.3162191209678887,0.07832173175983331
Tile_5,0.659177972436156,0.32906928021109627
Tile_6,0.6091259512703359,0.3243850045013963
Tile_7,0.5768580615207752,0.16198335620733695
Tile_8,0.6237011531061689,0.1865520596683083
Tile_9,1.4506173931048754,0.5537328932258179
Tile_10,2.533076152152009,3.590954063429005
Tile_11,0.8107517973146801,0.3330623749019921
Tile_12,0.532815659815224,0.5379994322809456
