,01,02,03,04,05
avg_x_orig,0.6484986945169713,0.6900584795321637,0.7062720979291084,0.6440074687828218,0.6689695550351289
avg_y_orig,0.3818537859007833,0.3872535885167464,0.39867130166087295,0.3906319290465632,0.37616445485297945
density_ratio1_canny,0.47228177641653907,0.4737239124968569,0.48238839706159353,0.4748078565328779,0.47179272879231093
density_ratio1_orig,0.7036553524804178,0.7033492822966507,0.7195828505214369,0.7106430155210643,0.7177985948477752
density_ratio2_canny,0.53843797856049,0.5401056072416395,0.5210020719532868,0.5339453458582408,0.5346844964479732
density_ratio2_orig,0.2310704960835509,0.17942583732057416,0.13673232908458866,0.2261640798226164,0.20843091334894615
density_ratio3_canny,0.558963009800822,0.5565891472868217,0.5458759899555727,0.5485001094810598,0.5538198159640488
density_ratio3_orig,0.1497326203208556,0.11843711843711843,0.0831353919239905,0.1689497716894977,0.12052505966587113
density_ratio4_canny,0.5213270142180095,0.5276485788113695,0.5254629629629629,0.5183727034120735,0.513050919982884
density_ratio4_orig,0.4626865671641791,0.39950980392156865,0.33616504854368934,0.46774193548387094,0.4945717732207479
h_w_ratio_canny,0.2711864406779661,0.288,0.26,0.2714285714285714,0.2962962962962963
mean_hist_canny,0.13532838983050846,0.11622222222222223,0.09247863247863247,0.11954887218045113,0.1137037037037037
mean_hist_orig,0.7971398305084746,0.8142222222222222,0.8524786324786325,0.8304511278195489,0.8418518518518519
no_of_corners_orig,0.04,0.04,0.04,0.04,0.08
occ_ratio_canny,0.13532838983050846,0.11622222222222223,0.09247863247863247,0.11954887218045113,0.11370370370370371
occ_ratio_orig,0.2028601694915254,0.18577777777777776,0.14752136752136752,0.16954887218045112,0.15814814814814815
var_hist_canny,0.1170146167363904,0.10271461728395063,0.08392633501351449,0.10525693934083329,0.10077517146776407
var_hist_orig,0.161707921125395,0.1512643950617284,0.12575881364599312,0.14080205212278812,0.13313731138545953
