,avg_x_orig,avg_y_orig,density_ratio1_canny,density_ratio1_orig,density_ratio2_canny,density_ratio2_orig,density_ratio3_canny,density_ratio3_orig,density_ratio4_canny,density_ratio4_orig,h_w_ratio_canny,mean_hist_canny,mean_hist_orig,no_of_corners_orig,occ_ratio_canny,occ_ratio_orig,var_hist_canny,var_hist_orig
01_1,0.5456790123456791,0.4453941120607787,0.4898373983739837,0.49382716049382713,0.508130081300813,0.3950617283950617,0.5181623931623932,0.3815789473684211,0.5229455709711847,0.5,0.38461538461538464,0.05384615384615384,0.9221153846153846,0.03,0.05384615384615385,0.07788461538461539,0.05094674556213018,0.07181860207100592
01_2,0.6714285714285715,0.330812324929972,0.4736297828335057,0.8428571428571429,0.5108583247156153,0.17142857142857143,0.5282608695652173,0.13432835820895522,0.5194805194805194,0.4666666666666667,0.39215686274509803,0.05196078431372549,0.9313725490196079,0.04,0.05196078431372549,0.06862745098039216,0.04926086120722799,0.06391772395232603
01_3,0.0,0.0,0.49019607843137253,0.0,0.5,0.0,0.5103092783505154,0.0,0.5211122554067971,0.0,0.39215686274509803,0.0,1.0,0.01,0.0,0.0,0.0,0.0
01_4,0.4268518518518518,0.2955840455840456,0.46701570680628274,0.9444444444444444,0.4942408376963351,0.6018518518518519,0.5109649122807017,0.40404040404040403,0.49834619625137816,0.819047619047619,0.38461538461538464,0.08173076923076923,0.8961538461538462,0.05,0.08173076923076923,0.10384615384615385,0.07505085059171597,0.09306213017751479
01_5,0.45,0.5471044231646147,0.5167630057803468,0.35348837209302325,0.500578034682081,0.5116279069767442,0.4945054945054945,0.583732057416268,0.5344619105199516,0.44878048780487806,0.39215686274509803,0.15196078431372548,0.7892156862745098,0.03,0.15196078431372548,0.2107843137254902,0.1288687043444829,0.16635428681276432
01_6,0.4915760869565218,0.5006393861892583,0.4966442953020134,0.45652173913043476,0.5067114093959731,0.42934782608695654,0.5058823529411764,0.543859649122807,0.5169988276670574,0.547486033519553,0.39215686274509803,0.12352941176470589,0.8196078431372549,0.04,0.12352941176470589,0.1803921568627451,0.10826989619377163,0.14785082660515186
02_1,0.5923076923076923,0.5514041514041513,0.4868559411146162,0.5846153846153846,0.5078864353312302,0.3076923076923077,0.5112107623318386,0.41935483870967744,0.5368303571428571,0.3548387096774194,0.25396825396825395,0.05654761904761905,0.935515873015873,0.03,0.05654761904761905,0.06448412698412699,0.053349985827664384,0.06032592435122194
02_2,0.5928030303030303,0.20772238514174,0.48739495798319327,0.8181818181818182,0.5031512605042017,0.36363636363636365,0.5324384787472036,0.09375,0.5139977603583427,0.8181818181818182,0.25806451612903225,0.040322580645161296,0.966733870967742,0.03,0.04032258064516129,0.03326612903225806,0.03869667013527577,0.032159493691467214
02_3,0.0,0.0,0.5,0.0,0.5,0.0,0.5171673819742489,0.0,0.5262593783494105,0.0,0.25806451612903225,0.0,1.0,0.01,0.0,0.0,0.0,0.0
02_4,0.40952380952380957,0.4628684807256236,0.47479484173505276,0.5982142857142857,0.4630715123094959,0.5714285714285714,0.5375,0.4857142857142857,0.5238095238095238,0.6285714285714286,0.23809523809523808,0.09735449735449736,0.8814814814814814,0.04,0.09735449735449736,0.11851851851851852,0.08787659919935052,0.1044718792866941
02_5,0.4453514739229025,0.5069124423963134,0.5147247119078106,0.4557823129251701,0.4647887323943662,0.4557823129251701,0.5020576131687243,0.65,0.5294117647058824,0.5579710144927537,0.24193548387096775,0.16021505376344086,0.8419354838709677,0.04,0.16021505376344086,0.15806451612903225,0.13454619031101858,0.13308012486992718
02_6,0.6862962962962963,0.4477598566308244,0.47613219094247244,0.6111111111111112,0.5042839657282742,0.16111111111111112,0.5613577023498695,0.17058823529411765,0.5406824146981627,0.41875,0.24193548387096775,0.12150537634408602,0.8064516129032259,0.05,0.12150537634408602,0.1935483870967742,0.10674181986356802,0.15608740894901144
04_1,0.6906740535549399,0.3204334365325078,0.48361310951239006,1.0,0.48521183053557154,0.08771929824561403,0.5328836424957841,0.0,0.5260504201680672,0.44,0.27941176470588236,0.031733746130030965,0.9558823529411765,0.03,0.03173374613003096,0.04411764705882353,0.030726715486585714,0.04217128027681661
04_2,0.5587515299877601,0.37539048941339814,0.47591362126245845,0.872093023255814,0.4742524916943522,0.37209302325581395,0.5213973799126638,0.2564102564102564,0.5135608048993876,0.7088607594936709,0.2835820895522388,0.05420267085624509,0.9324430479183032,0.03,0.05420267085624509,0.06755695208169678,0.05126474132829465,0.0629930103071281
04_3,0.0,0.0,0.4925373134328358,0.0,0.47368421052631576,0.0,0.5149006622516556,0.0,0.5235732009925558,0.0,0.2835820895522388,0.0,1.0,0.01,0.0,0.0,0.0,0.0
