,01,02,03,04,05
avg_x_orig,0.6329096506768029,0.6854466288428552,0.6377830533235939,0.7269772481040087,0.627072771984778
avg_y_orig,0.4416941308463642,0.5138250138250139,0.48874099324549775,0.4810470259573973,0.47805701923204547
density_ratio1_canny,0.4989749096944255,0.5017501842299189,0.4981826801517067,0.4991910475933666,0.4994402686710379
density_ratio1_orig,0.5742935278030994,0.48951048951048953,0.48429510591672753,0.530281690140845,0.5050900548159749
density_ratio2_canny,0.5094210680464708,0.5184229918938835,0.5244152970922883,0.5153700957260348,0.5159123620662083
density_ratio2_orig,0.19143117593436645,0.14296814296814297,0.1585098612125639,0.08661971830985915,0.14330462020360218
density_ratio3_canny,0.5134758826454501,0.5175553886594066,0.5145201512348162,0.515846396057225,0.5140438003745014
density_ratio3_orig,0.3246753246753247,0.366798418972332,0.38088125466766243,0.28324946081955427,0.40175718849840253
density_ratio4_canny,0.5238994335685183,0.5306811784574967,0.5240852432649779,0.5213967819239986,0.520123587283519
density_ratio4_orig,0.31479736098020733,0.25157728706624605,0.27434944237918213,0.2604982206405694,0.3620967741935484
h_w_ratio_canny,0.2548076923076923,0.23873873873873874,0.23045267489711935,0.26859504132231404,0.24152542372881355
mean_hist_canny,0.07084542815674891,0.07734149243583205,0.06995884773662552,0.05696122059758423,0.07032411537317872
mean_hist_orig,0.9004898403483309,0.8906170321264661,0.8993974132863022,0.9097266369993642,0.9050698780850431
no_of_corners_orig,0.11,0.12,0.14,0.13,0.14
occ_ratio_canny,0.07084542815674891,0.07734149243583206,0.06995884773662552,0.05696122059758423,0.0703241153731787
occ_ratio_orig,0.09951015965166908,0.10938296787353391,0.10060258671369783,0.09027336300063572,0.09493012191495688
var_hist_canny,0.06582635346603584,0.07135978598363019,0.06506460735998917,0.053716639945617574,0.06537863417015856
var_hist_orig,0.08960788777776843,0.09741833421271134,0.09048170626021072,0.08212408293319118,0.0859183938681683
