,avg_x_orig,avg_y_orig,density_ratio1_canny,density_ratio1_orig,density_ratio2_canny,density_ratio2_orig,density_ratio3_canny,density_ratio3_orig,density_ratio4_canny,density_ratio4_orig,h_w_ratio_canny,mean_hist_canny,mean_hist_orig,no_of_corners_orig,occ_ratio_canny,occ_ratio_orig,var_hist_canny,var_hist_orig
01_1,0.5032679738562091,0.8969404186795491,0.5061295971978984,0.0,0.4711033274956217,0.4722222222222222,0.5143918291550603,0.8529411764705882,0.5523632993512512,0.0,0.2463768115942029,0.02642796248934356,0.9693094629156009,0.04,0.026427962489343565,0.030690537084398978,0.025729525288005414,0.029748628017870107
01_2,0.0,0.0,0.5,0.0,0.47058823529411764,0.0,0.5160403299725023,0.0,0.5311355311355311,0.0,0.25,0.0,1.0,0.01,0.0,0.0,0.0,0.0
01_3,0.6628407460545194,0.4383070301291248,0.4968666069829902,0.5121951219512195,0.4870188003581021,0.0,0.5264650283553876,0.06060606060606061,0.541862652869238,0.08108108108108109,0.25,0.03373702422145329,0.9645328719723184,0.03,0.03373702422145329,0.03546712802768166,0.03259883741813436,0.03420921085714971
01_4,0.596293311845286,0.6108794917609689,0.5111308993766697,0.0821917808219178,0.4772929652715939,0.3150684931506849,0.5259678942398489,0.39436619718309857,0.5523091423185674,0.22857142857142856,0.2463768115942029,0.042625745950554135,0.9377664109121909,0.02,0.042625745950554135,0.06223358908780904,0.04080879173271295,0.05836056947705876
01_5,0.758046614872364,0.602016278209397,0.5159420289855072,0.29559748427672955,0.5111111111111111,0.10062893081761007,0.5310274669379451,0.3356164383561644,0.5718685831622177,0.11409395973154363,0.25,0.10467128027681662,0.8624567474048443,0.04,0.1046712802768166,0.1375432525951557,0.09371520336202871,0.1186251062607009
01_6,0.48484848484848486,0.37819370172311345,0.4813695871097684,0.6565656565656566,0.46727089627391744,0.4292929292929293,0.5341880341880342,0.34946236559139787,0.5121693121693122,0.6875,0.25,0.14100346020761245,0.8287197231833909,0.03,0.14100346020761245,0.17128027681660898,0.1211214844170927,0.1419433435902348
01_7,0.39785714285714285,0.5121325051759834,0.48633879781420764,0.44857142857142857,0.4885245901639344,0.62,0.513986013986014,0.655786350148368,0.5243055555555556,0.5805471124620061,0.2318840579710145,0.17119565217391305,0.6829710144927537,0.02,0.17119565217391305,0.3170289855072464,0.14188770085066163,0.21652160785549254
01_8,0.125,0.33206831119544594,0.4817073170731707,0.7016129032258065,0.45121951219512196,0.9838709677419355,0.5043103448275862,0.6869565217391305,0.4782608695652174,1.0,0.23529411764705882,0.09558823529411764,0.8860294117647058,0.04,0.09558823529411764,0.11397058823529412,0.08645112456747404,0.10098129325259515
01_9,0.4270833333333333,0.30208333333333337,0.48091603053435117,1.0,0.49809160305343514,0.5833333333333334,0.5254065040650406,0.4444444444444444,0.5197568389057751,0.8181818181818182,0.23529411764705882,0.03676470588235294,0.9558823529411765,0.03,0.03676470588235294,0.04411764705882353,0.03541306228373702,0.04217128027681661
02_1,0.8461538461538461,0.9567966280295046,0.4975609756097561,0.0,0.47479674796747967,0.0,0.5176571920757967,1.0,0.5340223944875108,0.0,0.2328767123287671,0.008863819500402902,0.9895245769540693,0.02,0.008863819500402902,0.010475423045930701,0.008785252204267176,0.010365688557939484
