,01,02,03,04,05
avg_x_orig,0.3931195184310172,0.39237690830047517,0.4208872738284503,0.3953074854714199,0.4288812467081823
avg_y_orig,0.4107988447611089,0.3946609216935182,0.38881428011862795,0.36040155576579413,0.3455683543834957
density_ratio1_canny,0.48494809688581314,0.48685528292438657,0.48924122310305773,0.48078033013967447,0.47902836451418224
density_ratio1_orig,0.614065180102916,0.7070063694267515,0.6833976833976834,0.7473544973544973,0.7553366174055829
density_ratio2_canny,0.47474048442906575,0.47608913370055084,0.48867497168742924,0.4800877294239871,0.4808388654194327
density_ratio2_orig,0.7152658662092625,0.6904458598726114,0.6692406692406693,0.6626984126984127,0.638752052545156
density_ratio3_canny,0.49991186321170455,0.5003813882532419,0.502874223959531,0.5042815249266862,0.505766569275719
density_ratio3_orig,0.5634782608695652,0.5214564369310793,0.4980289093298292,0.4670255720053836,0.46733668341708545
density_ratio4_canny,0.48735511064278186,0.47602696171944553,0.49157013418970064,0.47863849765258215,0.4833563429973922
density_ratio4_orig,0.8201438848920863,0.942381562099872,0.8073270013568521,0.948069241011984,0.9215017064846417
h_w_ratio_canny,0.452991452991453,0.4632352941176471,0.4927536231884058,0.40397350993377484,0.39849624060150374
mean_hist_canny,0.06789227543944525,0.06769374416433241,0.05903665814151748,0.059494083161437415,0.05972478365725634
mean_hist_orig,0.905982905982906,0.9083800186741363,0.9171994884910486,0.9179242210400608,0.913604766633565
no_of_corners_orig,0.07,0.08,0.09,0.08,0.1
occ_ratio_canny,0.06789227543944525,0.0676937441643324,0.05903665814151748,0.059494083161437415,0.05972478365725635
occ_ratio_orig,0.09401709401709402,0.09161998132586367,0.0828005115089514,0.0820757789599392,0.08639523336643495
var_hist_canny,0.06328291437509974,0.0631113011653463,0.05555133113699906,0.05595453723021737,0.05615773387435027
var_hist_orig,0.08517788004967494,0.08322576034771209,0.07594458680280743,0.0753393454680584,0.07893109701799418
