,avg_x_orig,avg_y_orig,density_ratio1_canny,density_ratio1_orig,density_ratio2_canny,density_ratio2_orig,density_ratio3_canny,density_ratio3_orig,density_ratio4_canny,density_ratio4_orig,h_w_ratio_canny,mean_hist_canny,mean_hist_orig,no_of_corners_orig,occ_ratio_canny,occ_ratio_orig,var_hist_canny,var_hist_orig
01_1,0.49163013152650453,0.45944255851348936,0.5047899778924098,0.5284974093264249,0.5033161385408991,0.46632124352331605,0.5003825554705432,0.5294117647058824,0.5172678434382195,0.5661375661375662,0.4482758620689655,0.10013262599469497,0.8720159151193634,0.04,0.10013262599469495,0.12798408488063662,0.09010608320610151,0.11160415889790262
01_2,0.5987238567883729,0.36785512167515566,0.47761194029850745,0.6497695852534562,0.517910447761194,0.2488479262672811,0.5291375291375291,0.2938388625592417,0.5126825518831668,0.5885416666666666,0.45614035087719296,0.09581646423751686,0.8535762483130904,0.04,0.09581646423751687,0.14642375168690958,0.08663566941853751,0.12498383662883981
01_3,0.4425974025974026,0.500447828034035,0.5041014168530947,0.4025974025974026,0.4809843400447427,0.525974025974026,0.5116640746500778,0.5533333333333333,0.4980694980694981,0.8321678321678322,0.43103448275862066,0.07517241379310345,0.8937931034482759,0.04,0.07517241379310345,0.10620689655172413,0.06952152199762188,0.09492699167657552
01_4,0.0,0.0,0.49122807017543857,0.0,0.48,0.0,0.5091307523739956,0.0,0.5182481751824818,0.0,0.43859649122807015,0.0,1.0,0.01,0.0,0.0,0.0,0.0
02_1,0.597623089983022,0.6087981146897093,0.5148729042725798,0.28618421052631576,0.5024337479718767,0.29276315789473684,0.4983296213808463,0.5605536332179931,0.5360536612632756,0.33222591362126247,0.4626865671641791,0.1097737120847376,0.8536350505536833,0.06,0.1097737120847376,0.1463649494463168,0.09772344421987476,0.12494225101989392
02_2,0.4541595925297114,0.35120450379680546,0.47198731501057084,0.7192982456140351,0.48308668076109934,0.4692982456140351,0.5205030071077091,0.34977578475336324,0.472509526401742,0.9866071428571429,0.4626865671641791,0.08907077515647568,0.8902262879152624,0.02,0.08907077515647568,0.1097737120847376,0.08113717216950024,0.09772344421987476
02_3,0.38562962962962966,0.48451077943615256,0.49596122778675283,0.39111111111111113,0.49488422186322023,0.6133333333333333,0.5055679287305123,0.589041095890411,0.4921962095875139,0.8161434977578476,0.44776119402985076,0.07611940298507462,0.8880597014925373,0.06,0.07611940298507462,0.11194029850746269,0.07032523947427043,0.09940966807752281
02_4,0.0,0.0,0.4925373134328358,0.0,0.5,0.0,0.5077160493827161,0.0,0.515681233933162,0.0,0.44776119402985076,0.0,1.0,0.01,0.0,0.0,0.0,0.0
03_1,0.534518113465482,0.47689075630252103,0.4968308142369576,0.5375939849624061,0.4978059483178937,0.3308270676691729,0.5057759919638373,0.4980392156862745,0.5223955712128837,0.4296577946768061,0.4852941176470588,0.08600713012477719,0.8814616755793226,0.07,0.08600713012477719,0.11853832442067737,0.0786099036924768,0.10448699006421559
03_2,0.6554188169908693,0.31030053942974567,0.480269489894129,0.7860262008733624,0.507218479307026,0.1703056768558952,0.5325384997516145,0.17256637168141592,0.509162951956414,0.6038647342995169,0.4852941176470588,0.07397504456327986,0.8979500891265597,0.03,0.07397504456327986,0.10204991087344029,0.0685027373451406,0.09163572656416318
03_3,0.3885630498533724,0.582957779886148,0.512289156626506,0.2903225806451613,0.48,0.5967741935483871,0.5019880715705766,0.6359832635983264,0.5108267716535433,0.6650246305418719,0.4852941176470588,0.07531194295900177,0.8894830659536541,0.05,0.07531194295900179,0.11051693404634581,0.06964005420674185,0.09830294133534147
03_4,0.006060606060606061,0.01764705882352941,0.49910714285714286,1.0,0.48392857142857143,1.0,0.5075931891394385,0.6666666666666666,0.5142594296228151,1.0,0.4852941176470588,0.0017825311942959,0.9977718360071302,0.02,0.0017825311942959,0.0022281639928698753,0.0017793537768372618,0.0022231992780907543
04_1,0.5744086021505376,0.5443010752688172,0.49107142857142855,0.4645161290322581,0.5133928571428571,0.3419354838709677,0.5023065094823168,0.5101351351351351,0.5269922879177378,0.3627450980392157,0.4,0.104,0.8622222222222222,0.05,0.104,0.13777777777777778,0.09318400000000002,0.11879506172839506
04_2,0.4688766114180479,0.2957294310885471,0.48515325670498083,0.7624309392265194,0.4985632183908046,0.47513812154696133,0.5148662041625371,0.35195530726256985,0.48462301587301587,0.9779005524861878,0.40540540540540543,0.059459459459459456,0.9184684684684684,0.03,0.05945945945945946,0.08153153153153153,0.05592403214024837,0.07488414089765441
04_3,0.3355437665782493,0.4981766381766382,0.4900398406374502,0.45726495726495725,0.4681274900398406,0.6752136752136753,0.49871332990221307,0.6593886462882096,0.48711340206185566,0.8539823008849557,0.38666666666666666,0.0767816091954023,0.8924137931034483,0.07,0.07678160919540229,0.10758620689655173,0.07088619368476683,0.0960114149821641
04_4,0.0,0.0,0.5,0.0,0.4827586206896552,0.0,0.5060299083453932,0.0,0.5139826422372228,0.0,0.3918918918918919,0.0,1.0,0.01,0.0,0.0,0.0,0.0
