,01,02,03,04,05
avg_x_orig,0.4835347724922441,0.46764014190239556,0.49021047479197255,0.45824224992010226,0.5067537264213164
avg_y_orig,0.4825149472833387,0.4670252476266056,0.47202362324771513,0.4501550955952851,0.4928439519852262
density_ratio1_canny,0.5009584052137244,0.4937279151943463,0.49575944487278334,0.49687161091182114,0.4990924021090846
density_ratio1_orig,0.5056876938986556,0.553831231813773,0.5168869309838473,0.5580057526366251,0.5004616805170822
density_ratio2_canny,0.5016292888633315,0.49143109540636043,0.5028912875867386,0.49136564611662636,0.5033278589333564
density_ratio2_orig,0.4756980351602896,0.5082444228903976,0.41262848751835535,0.548418024928092,0.43213296398891965
density_ratio3_canny,0.5032113662903853,0.5044794839634474,0.5070546737213404,0.504227972264502,0.505699754472115
density_ratio3_orig,0.48893572181243417,0.4682306940371456,0.4888558692421991,0.4671814671814672,0.47708138447146864
density_ratio4_canny,0.5069160335086694,0.5075655833109499,0.5079365079365079,0.506168666553997,0.5071447356886123
density_ratio4_orig,0.48747390396659707,0.47928994082840237,0.4962852897473997,0.4965786901270772,0.4457034938621341
h_w_ratio_canny,0.367816091954023,0.44242424242424244,0.32786885245901637,0.4411764705882353,0.3977272727272727
mean_hist_canny,0.06303879310344827,0.0601909506019095,0.05500910746812386,0.05984313725490196,0.06095779220779221
mean_hist_orig,0.9131645114942528,0.9144043171440431,0.9379781420765028,0.9181960784313725,0.9120941558441559
no_of_corners_orig,0.16,0.1,0.11,0.12,0.11
occ_ratio_canny,0.06303879310344827,0.06019095060190951,0.05500910746812386,0.05984313725490196,0.06095779220779221
occ_ratio_orig,0.08683548850574713,0.08559568285595683,0.062021857923497264,0.08180392156862745,0.08790584415584415
var_hist_canny,0.05906490366750891,0.056568000067548,0.051983105563684275,0.056261936178392924,0.05724193977694382
var_hist_orig,0.0792950864417154,0.0782690619323793,0.0581751470632148,0.07511203998462129,0.08017840671909257
